Tweets,Subjectivity,Polarity
"สีสันของประชาธิปไตยและคนที่มีอุดมการณ์เดียวกัน III
 ม็อบ18พฤศจิกา ",0.0,0.0
"เออจริงของพี่ทราย555555  
แฉ ม็อบ18พฤศจิกา ",0.0,0.0
นี่เป็นลมในม็อบ ถูกส่งขึ้นAmbulanceโผล่อีกทีที่นี่ ตอนอยู่ในERรู้สึกตัวแต่ไม่มีแรง มีผชผมสั้นใส่เชิ้ตขาวสูทดำเดินมาเหมือนถ่าย…,0.0,0.0
"งานอาร์ต​ของพระองค์​ ทรงศิริโฉมมากเพคะ​ 🙏 ขอพระองค์ทรงพระเจริญ
ม็อบ18พฤศจิกา ",0.0,0.0
"flghting 
flghting 
The whole world is watching!
The whole world is watching!

ม็อบ18พฤศจิกา

 ",0.4,0.25
"“ราษฎรโต้กลับ!”
—
18พฤศจิกาไปราษฎร์ประสงค์
ม็อบ18พฤศจิกา ",0.0,0.0
คนไทยนี่สกิลปั่น กวนตีนนี่ท็อปฟอร์มไม่ไหว ท็อปฟอร์มจนไต้หวัน ฮ่องกงบอกอยากศึกษาวิธีจะเอาไปวอร์กับสลิ่มจีน ละดูล่าสุดห้ามห…,0.0,0.0
เก่งมาก กล้ามาก ขอบใจ ม็อบ18พฤศจิกา ,0.0,0.0
"แกนนำอาชีวะยังปราศรัยต่อ 

""อย่าให้เรื่องนี้เงียบ เมื่อวานเด็กอาชีวะโดนยิงไป 7 คน โดนฟันไป 2 คน โดนก้อนหินอีกหลายคน อาชีวะไม่…",0.0,0.0
เฌอเอมปังมาก!!! ม็อบ18พฤศจิกา ,0.0,0.0
"เอาจริงๆเลยนะ หยุดได้หยุด ที่ไปให้กุหลาบ ให้ข้าวให้น้ำมันน่ะ มันได้ข้าวได้น้ำเปล่า แต่เรากระสุนได้น้ำผสมแก๊สน้ำตานะเห็นยัง
ม็…",0.0,0.0
เฌอเอมปังมาก!!! ม็อบ18พฤศจิกา ,0.0,0.0
ติดไว้ก่อนเดี๋ยวเข้าไม่ได้5555555 ม็อบ18พฤศจิกา ,0.0,0.0
"แกนนำอาชีวะยังปราศรัยต่อ 

""อย่าให้เรื่องนี้เงียบ เมื่อวานเด็กอาชีวะโดนยิงไป 7 คน โดนฟันไป 2 คน โดนก้อนหินอีกหลายคน อาชีวะไม่…",0.0,0.0
โอ้ย น่ารักกกกก ปังมากแม่ นักข่าวมาเอาคลิปแบบนี้ลงบ้างดิ คนที่ไม่ได้เล่นทวิตเขาจะได้เห็นว่าม็อบไม่ได้รุนแรงอย่างที่เขาคิดกัน…,0.0,0.0
long live น้อลเป็ด ม็อบ18พฤศจิกา ,0.45,0.043181818181818175
"จำชื่อไว้ให้ดีนะคะ ' พลเอก ธวัชชัย สมุทรสาคร ' ผู้ที่บอกว่า ""ไม่รับร่างทั้ง7ฉบับ"" เป็น สว.ที่ได้รับการคัดเลือกมาจาก 'คส…",0.0,0.0
Breaking : ณัฏพล ทีปสุวรรณ รัฐมนตรีว่าการกระทรวงศึกษาธิการ โหวตไม่รับหลักการร่างแก้ไขรัฐธรรมนูญทั้ง 7 ฉบับ ค้านความต้องการ…,0.0,0.0
"อย่างกับงานของแจ็กสัน พอลล็อก

ม็อบ18พฤศจิกา ",0.0,0.0
นักข่าวช่องvoice tv บอกว่าเป็ดตัวสุดท้ายน่าจะชื่อเล่นว่าประวิตร เพราะเชื่องช้า โคตรปั่น555555 ม็อบ18พฤศจิกา ,0.0,0.0
"เอาจริงๆเลยนะ หยุดได้หยุด ที่ไปให้กุหลาบ ให้ข้าวให้น้ำมันน่ะ มันได้ข้าวได้น้ำเปล่า แต่เรากระสุนได้น้ำผสมแก๊สน้ำตานะเห็นยัง
ม็…",0.0,0.0
"แกนนำอาชีวะยังปราศรัยต่อ 

""อย่าให้เรื่องนี้เงียบ เมื่อวานเด็กอาชีวะโดนยิงไป 7 คน โดนฟันไป 2 คน โดนก้อนหินอีกหลายคน อาชีวะไม่…",0.0,0.0
"แต่ละคนมีความสามารถกันมากๆเลยอ่ะ ถ้าการเมืองดีพวกเค้าคงถูกผลักดันไปได้ไกลกว่านี้ ม็อบ18พฤศจิกา 
 ",0.0,0.0
เก่งมาก กล้ามาก กองทัพเป็ด ม็อบ18พฤศจิกา ม็อบ18พฤศจิกาไปราชประสงค์ ,0.0,0.0
ที่สุดของวันนี้ ยกให้ภาพนี้ ครับ ม็อบ18พฤศจิกา ,0.0,0.0
"แกนนำอาชีวะยังปราศรัยต่อ 

""อย่าให้เรื่องนี้เงียบ เมื่อวานเด็กอาชีวะโดนยิงไป 7 คน โดนฟันไป 2 คน โดนก้อนหินอีกหลายคน อาชีวะไม่…",0.0,0.0
อิเหี้ยมีคนแอบถ่ายๆๆๆๆผญ โดนจับได้ มีคลิปด้วย การ์ดกำลังพาไปแจ้งตำรวจ อิเหี้ยเอ้ย ม็อบ18พฤศจิกา,0.0,0.0
"สีสันของประชาธิปไตยและคนที่มีอุดมการณ์เดียวกัน III
 ม็อบ18พฤศจิกา ",0.0,0.0
"Let all people know, Thailand belongs to the people ม็อบ18พฤศจิกา ",0.0,0.0
"ใครเป็นคนทัม55555555555555555
5555555555555555555555555555555555555555555555555555555555
ม็อบ18พฤศจิกา ",0.0,0.0
"มิน ลภนพัฒน์ นักเรียนชั้นม.6 ผู้ก่อตั้งนักเรียนเลวได้รับหมายเรียกผู้ต้องหา ฐานฝ่าฝืนพรก.ฉุกเฉิน
——
นักเรียนเลว 
ม็อบ18พฤ…",0.0,0.0
เริ่สสสมากก! โฟกัส พูดแทนใจคนไทยอีกหลายล้านคนเลย👇👇เอาใจไปเลยลูกสาว❤️ ม็อบ18พฤศจิกา ,0.0,0.0
